爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
EDC圈,"这个圈子很小众 全国大概也就小万人的圈子 圈子内活跃的也就几千人。 EDC是英文的缩写 Every Day Carry，取首字母意思是日常携带。正常人日常携带的都是些手机，包包，雨伞等物品。但是这个圈子“非常有意思” 他们玩的是 指虎 手电筒 刀具（各种刀 折刀 甩刀 直跳） 指尖陀螺 推牌（推蛋）忘忧石  等等 。他们把这些称为EDC，我可以这么理解，买了一堆“EDC”每天选择一两款 随身携带，想玩了 拿出来把玩一下 达到自身精神的解压 和 愉悦。

愉悦：消费后等待的急切感 和上手的当天的喜悦感 和拥有的满足感
",1~3年,10W不到,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,1w,两三个月,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
水族,水族包括鱼，水草，水族造景等一系列。鱼也有淡水，海水，热带鱼，冷水鱼，原生鱼。水草又有阴性草，阳性草等等,1~3年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1000，无上限,半年，10年,2,2
跑团,一种桌角色扮演游戏，可以理解为过家家的Pro Plus 版，英文名为trpg，在b站上可以很轻松找到ta的相关视频，你可以创造一个十分具体的人物，并按照他的卡（人设和技能）做出各种各样的操作（搞事x），经历一场场冒险，例如在dnd里与龙战斗，或者在coc里探索那些不可描述之神留下的事迹，并见证你的角色的成长经历或死亡,3~5年,100以内,处于萌新和入圈之间，只有寒暑假时会跟几个朋友线下玩玩,1,<1小时,几乎不需要花钱，如果你想的话可以花几十元把你的模组，规则书等打印出来方便阅读，游戏中的跑图骰子也可以在各个大型跑团群中找到免费的骰娘（机器人），当然要是追求线下的话，也可以淘宝买一套跑团骰子，骰子塔等，这些基本上都是可有可无，不买不影响玩，买了提升体验,我当初是把规则书打印出来，下课和自习课时当小说读，基本上一周就入门了吧，精通就不是我能确定的了，可能至少要持续玩个一年吧,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
赛车模拟器,"比较小众：很多人都在VR馆见过 6DOF的赛车模拟器 就是有六根气压杆的长得像蜘蛛一样的 赛车模拟器。

赛车模拟器 顾名思义就是模拟赛车的设备。

主要构成部分（介绍并不包含 电脑主机和显示器）
1：模拟器座舱 （从坐姿分主要可以分为二种FI坐姿的座舱和其他车型的座舱，区别在于F1的姿态更低 ，从动静来分可以分为静态座舱和动态座舱，动态座舱又有很多种类2DOF 3DOF 4DOF 5DOF 6DOF 7DOF而且有很多的实现方式）
2：基座和方向盘（这是两个东西但是我想归类成一类就是 方向盘和驱动方向盘的机器，有皮带传动和伺服直驱等）
3：脚踏板（脚踏板好像没啥可以介绍的 赛车模拟器的刹车脚感很重.）
4：手刹 H档 序列档 拨片
（这是四款产品 手刹大家都懂 但是在模拟器里面书要是 弹射起步 和 漂移 和 减速过弯用的 并不是家用车拉手刹防止溜车的

H档就是手动挡  一档-五档和倒挡  和手动挡家用车一样 踩离合挂挡

序列档主要是拉力赛车的，它区别于普通手动变速箱只是操作方法，加档和减档只需要前后推拉排挡杆就可以完成降档和加档。这种设计不但加快了换挡速度，更大大减低了换错挡的可能。

拨片 主要用于GT赛车 也是换挡用的

H档 序列档 拨片都是换挡机构

理论上 只要有一款 就能正常使用 但是 高阶玩家普遍为了更加拟真 都是 我全都要的）

非主要构成部分：上面是赛车模拟器必须要有的主要构成 接下来我来讲讲 次要部分
1：中控 是的模拟器也可以有中控 就是很多按键的集成盒子

2：风道 模拟赛车行驶过程中的风

3：安全带 和 头盔  怎么说呢 点缀的 增加 沉浸感

4：低频震动器 补偿动态座椅缺少的细节  或者 增加静态座椅的驾驶感受 比较玄学的一个东西 但是据说挺不错的
",<1年,1W,萌新入门阶段，还在摸索学习,1,<1小时,5W,0.5YEAR,2,2
串珠,一种手工爱好，diy串珠项链，串珠包包等饰品,1~3年,300 米珠比较便宜，需要分大小，分是什么珠子,萌新入门阶段，还在摸索学习,1,1~3小时,珠子不贵不知道哈哈,应该比较容易，在网上看大佬视频就能会,3 - 不高不低,3
研究kpop舞台,从小学开始追韩团，初中追日团，发现实际上吸引我的是日韩娱乐圈能呈现的精美的打歌舞台，不管团体还是个人，不管男女，不管类型，一首歌本身不具备视觉观赏性，但舞台可以，灯光，化妆，服饰，特效甚至是烟花舞美，都起到看似主角实则做辅的效果，配合上摄影和镜头切换，能做到在5分钟左右的时间里达到一个贴合主题并放大主题的效果。而且不管对于艺人本身、舞蹈编排还是曲词创作都可以有成倍数增长的正面影响，这可能也得益于韩国kpop文化的盛行，这一行业在2010年代达到（我认为的）顶峰，现因疫情影响，收到了一些打击，但前两天关注到舞台表演和现场打歌又重新开始了，希望在接下来的日子可以欣赏到更多的舞台~我曾一度非常向往此类舞美编排的工作，因为中国能做到让人目不转睛反复观看舞台舞美真的不多（哪怕不是流行文化），赌上春晚也做不出几个赏心悦目的，我并不在这个行业工作，但我私心总结，觉得现在的舞台还是没有在为音乐、舞蹈或者整个效果服务，而是在凸出明星、歌手本人，我不觉得是好事，希望未来中国也有更多可以让我反复研究抓帧观看的好舞台！,5~10年,5000,萌新入门阶段，还在摸索学习,1,1~3小时,0,5年,2,2
音乐？电影？（hifi？剪辑？）,,5~10年,大几千吧,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0到正无穷,0到正无穷,5 - 广为人知，老少咸宜的全民爱好,5
滑雪,,>10年,5W+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门2000 精通百万+,双板入门2天 精通5年以上  单板入门5天左右 精通3年足以,4,4
打游戏,,1~3年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,100000,一两年,4,4
手账,,3~5年,刚入圈时买了很多  后期找到适合自己的风格后很少再买贵的胶带、印章了  应该在2k左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门时一个本一支笔  精通后也可以是一个本一支笔（例如bujo子弹手帐）,可以一天花十几分钟到半个小时 也可以一周一补  ,4,4
听有声作品,通过配音来完成的比如广播剧，有声漫画，有声小说等等有声作品。,3~5年,不确定，500-1000元？,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,我觉得这个爱好的入门到精通的界限并没有很清晰的界定，所以我也不能确定投入的金钱什么。,跟上题一样，至少我认为听有声作品这个爱好是没有入门和精通的界定范围，所以也无法给出答案。,3 - 不高不低,3
羽毛球,,<1年,3000,萌新入门阶段，还在摸索学习,1,1~3小时,"入门：500以上
精通：1万以上",自去年八月开始打球至今，上过十一节羽毛球课，每节课一小时，外加平时平均三天打一场球，每场球一个半小时，我还没入门。个人认为需要持续上课半年以上，每周打三场，两场跟教练，一场自打，能够入门；精通的话，可能一年，要看个人身体素质，运动能力，个人意愿，以及钱包哈哈哈。,5 - 广为人知，老少咸宜的全民爱好,5
玩耳机音响，听音乐,,1~3年,4000,萌新入门阶段，还在摸索学习,1,3~6小时,时间不多，最主要是金钱,时间不多，最主要是金钱,3 - 不高不低,3
F1 一级方程式赛车,全球顶级的赛车比赛,>10年,没多少，也记不清了,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0，精通：很贵,入门：几小时，精通：2-3年,无须作答,
盲盒,,1~3年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,抽盲盒的入门和精通都不一定,抽盲盒的入门和精通都不一定,4,4
拍视频，弹吉他，作曲,作曲吧，我会在网易云音乐上发歌（原创～）,<1年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不清楚,10年起码,2,2
草，卷起来了,主要是卷学业和实习，不断追求更好,3~5年,时间成本比较高，全年无休,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,主要是需要时间积累,2年,5 - 广为人知，老少咸宜的全民爱好,5
天文观测,寻找天体用天文望远镜进行观测,<1年,2500,萌新入门阶段，还在摸索学习,1,<1小时,入门200，精通20000,入门二到三周，精通两个月,3 - 不高不低,3
练字,,<1年,50,萌新入门阶段，还在摸索学习,1,<1小时,不用很多钱，主要是买字帖吧,入门：3月 精通：4-5年,,
摄影,比较喜欢风光摄影吧,1~3年,30000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：10000 精通：300000+,10年起步,4,4
幸福小镇,这是一部10年前的国漫,5~10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,不花钱,不花时间,3 - 不高不低,3
国标舞,,5~10年,小时候上的兴趣班大概是小几千一个季度，现在是在学校的校队（不花钱）各种舞服（普通的小几百）、还有鞋子（小几百一双）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门的话上大课就好了（应该是3000-5000）精通的话小课是一定要上的（应该也是几千）然后还有各种各样的比赛（小几千，看时间长短）、集训（小几千）越好的老师收费会越高,我个人认为舞蹈还是很看天赋的。我有的朋友学了5年左右跳得很好，当然勤奋，还有找对老师很重要,,
写作业,,5~10年,0,硬核大佬，这个领域基本玩到头了,4,3~6小时,0,9年,5 - 广为人知，老少咸宜的全民爱好,5
看书,耐心一点,3~5年,500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"不知道
","不晓得
",3 - 不高不低,3
4/7k下落式音乐游戏,是一个跟随音乐的节奏，当音符下落到判定线时击打的游戏,5~10年,800,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,好用的键盘即可，500左右,入门：2个月；精通：按个人天赋2~5年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
摄影,,5~10年,两万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,没有标准，一台手机也可,这是一个长时间投入的东西，没有时间单位计算,3 - 不高不低,3
冥想,在我看来冥想就好像是一种变向的大脑保健操 每天用一段的闲暇时间放松自己的身体 大脑,<1年,0元,萌新入门阶段，还在摸索学习,1,<1小时,一张舒服的床,1年,3 - 不高不低,3
篆刻,刻石头,1~3年,200,萌新入门阶段，还在摸索学习,1,<1小时,入门：100左右吧/精通：1000+,入门：10hr/精通：大概2个月？,无须作答,
彩虹六号围攻（fps游戏）,,3~5年,1w5（包括设备）,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,入门：100（不包括设备） 精通：1w+（包括设备）,入门：200h  精通：2000h,,
乒乓球运动,,5~10年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,乒乓器材入门100块，精通3000块,入门3个月，精通3-4年,5 - 广为人知，老少咸宜的全民爱好,5
Popping,算是小众吧，街舞的一种，早年翻译为机械舞，但是够不准确，综艺节目《这就是街舞》里翻译为震感舞，比较贴切,>10年,几千,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,几千？,至少一年以上，当然也看天赋,,
指弹（吉他）,相对来说比较小众的一个分区，入门难度相对弹唱来说的话是稍高的,<1年,2000,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,入门：200 精通：5w往上,入门：30天 精通：5年往上（不全是，因为这取决于每天的练习时长跟方法）,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
摸鱼（bushi,,>10年,"∵一寸光阴一寸金
∴无价",资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,无法衡量,"入门：每天1小时
精通：每天3小时+",无须作答,
水弹枪枪模还原,在国内的“特殊环境”下，还原自己喜欢的枪械,3~5年,4～5个W,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,浅玩数百元即可，深玩还原原品，可多达数十万。,入门因为有直接的成品所以很好入门，但是如果要还原的话，需要查找大量的资料，有可能还要翻墙购买外网的配件，而且需要熟悉水弹枪的发射结构，精通的话需要至少一年时间吧。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
